,Track ID,Track Name,Track Popularity,Artist Name,Artist Popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
0,6foY66mWZN0pSRjZ408c00,Whiskey Glasses,79,Morgan Wallen,94,0.614,0.68,6,-4.58,1,0.0289,0.369,1.84e-06,0.115,0.707,149.959
1,5MwynWK9s4hlyKHqhkNn4A,Chasin' You,79,Morgan Wallen,94,0.631,0.591,7,-5.785,1,0.0277,0.657,0.00025,0.11,0.489,97.074
2,4VXIryQMWpIdGgYR4TrjT1,All Girls Are The Same,84,Juice WRLD,92,0.671,0.529,1,-7.226,1,0.307,0.0769,0.000335,0.0856,0.203,161.989
3,1cKHdTo9u0ZymJdPGSh6nq,I Was Never There,87,The Weeknd,99,0.323,0.737,10,-4.008,1,0.0338,0.142,0.000162,0.163,0.155,113.26
4,78QR3Wp35dqAhFEc2qAGjE,Drip Too Hard (Lil Baby & Gunna),82,Lil Baby,91,0.897,0.662,1,-6.903,0,0.292,0.0852,0.00025,0.534,0.389,112.511
5,577YBGuskWkVDCxZrLRB4v,Pure Cocaine,80,Lil Baby,91,0.964,0.487,10,-6.071,0,0.421,0.00127,6.57e-06,0.115,0.107,127.05
6,6vN77lE9LK6HP2DewaN6HZ,Yes Indeed,80,Lil Baby,91,0.963,0.346,5,-9.309,0,0.53,0.0355,0.00025,0.108,0.562,119.957
7,09mEdoA6zrmBPgTEN5qXmN,Call Out My Name,86,The Weeknd,99,0.461,0.593,1,-4.954,1,0.0356,0.17,0.00025,0.307,0.175,134.17
8,474uVhyGgK5MtY9gMcDgGl,It's Called: Freefall,81,Rainbow Kitten Surprise,74,0.744,0.516,2,-6.365,1,0.0513,0.632,0.00025,0.605,0.281,97.944
9,3GCdLUSnKSMJhs4Tj6CV3s,All The Stars (with SZA),82,Kendrick Lamar,92,0.698,0.633,8,-4.946,1,0.0597,0.0605,0.000194,0.0926,0.552,96.924
10,285pBltuF7vW8TeWk8hdRR,Lucid Dreams,83,Juice WRLD,92,0.511,0.566,6,-7.23,0,0.2,0.349,0.00025,0.34,0.218,83.903
